city,country,population,gdp_raw,year,currency,gdp_type,geo_level,usd_exchange_rate,fx_year,gdp_usd,source_url,search_engine,source_tier,source_tier_label,source_domain,source_organization,method,evidence_text,evidence_path,weighted_quality_score,status,failure_reasons,llm_used,llm_attempted,model_name
Antwerp,Belgium,506922,28699170014.301033,2024.0,USD,,,1.0,2024.0,28699170014.301033,https://api.worldbank.org/v2/country/BE/indicator/NY.GDP.PCAP.CD?format=json&per_page=60,tavily,1,tier1_official,worldbank.org,World Bank,downscaled_fallback,"fallback: gdp_per_capita=56614.5679499036, population=506922",fallback:country_gdp_per_capita*population,5.324,inReview,,False,,
Belo Horizonte,Brazil,2722000,28065314045.416786,2024.0,USD,,,1.0,2024.0,28065314045.416786,https://api.worldbank.org/v2/country/BR/indicator/NY.GDP.PCAP.CD?format=json&per_page=60,tavily,1,tier1_official,worldbank.org,World Bank,downscaled_fallback,"fallback: gdp_per_capita=10310.5488778166, population=2722000",fallback:country_gdp_per_capita*population,5.329,inReview,,False,,
Brussels,Belgium,1222637,108153000000.0,2024.0,EUR,Nominal,City Proper,1.08,2024.0,116805240000.00002,https://www.ceicdata.com/en/belgium/esa-2010-gdp-by-region-and-per-capita/gdp-brussels-region,tavily,3,tier3_general,ceicdata.com,,direct_parser,"Belgium GDP: Brussels Region (EUR mn) 108,153.000 2024 yearly 2003 - 2024 || Related indicators :: Belgium GDP: Brussels Region (EUR mn)","table:1,1,0",3.704,ok,,False,False,
Buenos Aires,Argentina,3120612,43594274527.966095,2024.0,USD,,,1.0,2024.0,43594274527.966095,https://api.worldbank.org/v2/country/AR/indicator/NY.GDP.PCAP.CD?format=json&per_page=60,tavily,1,tier1_official,worldbank.org,World Bank,downscaled_fallback,"fallback: gdp_per_capita=13969.7836603737, population=3120612",fallback:country_gdp_per_capita*population,5.329,inReview,,False,,
Cochabamba,Bolivia,1431000,,,,,,,,,https://economicdatagdp.com/country/bo/2024,tavily,3,tier3_general,economicdatagdp.com,,direct_parser,,,,failed,extraction_no_fact;llm_skipped_city_not_in_content,False,False,
Curitiba,Brazil,1963726,20247092905.639282,2024.0,USD,,,1.0,2024.0,20247092905.639282,https://api.worldbank.org/v2/country/BR/indicator/NY.GDP.PCAP.CD?format=json&per_page=60,tavily,1,tier1_official,worldbank.org,World Bank,downscaled_fallback,"fallback: gdp_per_capita=10310.5488778166, population=1963726",fallback:country_gdp_per_capita*population,5.329,inReview,,False,,
Dhaka,Bangladesh,22478000,462000000000.0,2024.0,USD,Nominal,City Proper,1.0,2024.0,462000000000.0,https://thefinancialexpress.com.bd/home/dhaka-alone-contributes-nearly-46pc-of-gdp-dcci,tavily,3,tier3_general,thefinancialexpress.com.bd,,direct_parser,"Dhaka district alone contributes nearly 46 per cent of Bangladesh’s total Gross Domestic Product (GDP), valued at $462 billion in the fiscal year 2024–25, according to a new analysis by the Dhaka Chamber of Commerce and Industry (DCCI).",line:82538,4.024,ok,,False,False,
Florianopolis,Brazil,508826,5246275343.303909,2024.0,USD,,,1.0,2024.0,5246275343.303909,https://api.worldbank.org/v2/country/BR/indicator/NY.GDP.PCAP.CD?format=json&per_page=60,tavily,1,tier1_official,worldbank.org,World Bank,downscaled_fallback,"fallback: gdp_per_capita=10310.5488778166, population=508826",fallback:country_gdp_per_capita*population,5.324,inReview,,False,,
Gaborone,Botswana,421907,,,,,,,,,https://www.statsbots.org.bw/sites/default/files/publications/GROSS%20DOMESTIC%20PRODUCT-%20%20FOURTH%20QUARTER%20OF%202024.pdf,tavily,3,tier3_general,statsbots.org.bw,,direct_parser,,,,failed,extraction_no_fact;llm_skipped_city_not_in_content,False,False,
Ilheus,Brazil,159923,1648893908.1870642,2024.0,USD,,,1.0,2024.0,1648893908.1870642,https://api.worldbank.org/v2/country/BR/indicator/NY.GDP.PCAP.CD?format=json&per_page=60,tavily,1,tier1_official,worldbank.org,World Bank,downscaled_fallback,"fallback: gdp_per_capita=10310.5488778166, population=159923",fallback:country_gdp_per_capita*population,5.324,inReview,,False,,
